GeneID	mG11-3-1	mG11-3-2	mG11-3-3	mG12-4-1	mG12-4-2	mG12-4-3	mG6-15-1	mG6-15-2	mG6-15-3	mG7-23-1	mG7-23-2	mG7-23-3	mG9-10-1	mG9-10-2	mG9-10-3	mG9-29-1	mG9-29-2	mG9-29-3
O53_1975	15	19	16	16	13	11	13	11	3	14	14	15	10	13	16	9	14	13
O53_3337	11	10	10	8	0	0	0	0	0	6	3	5	10	8	8	11	7	0
O53_3041	46	58	60	53	56	46	54	46	35	54	57	52	62	49	53	61	52	53
O53_2954	2	3	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0
O53_2725	71	79	85	70	30	25	30	24	18	73	74	77	90	83	89	85	80	26
O53_2439	64	74	71	71	28	13	23	14	18	61	62	61	85	72	75	80	66	15
O53_3778	54	60	64	60	32	23	34	14	16	70	68	71	97	80	83	82	70	24
O53_4638	45	47	47	15	15	14	17	10	17	34	38	40	65	45	54	68	41	13
O53_723_pstB-2	20	21	25	24	13	12	12	12	1	29	30	22	36	27	32	33	28	7
O53_851	73	76	74	81	45	37	40	34	32	71	68	80	87	80	87	85	75	37
O53_1967_pdxJ	31	31	30	28	21	14	17	11	22	29	27	28	31	29	28	27	26	19
O53_4994	5	6	6	7	5	4	5	4	3	5	5	5	5	4	5	7	5	4
O53_3541	0	0	4	0	0	0	0	0	0	0	0	0	20	18	0	0	0	0
O53_3851	0	0	0	1	6	0	9	0	0	17	0	7	14	14	11	0	5	1
O53_2503	20	27	29	29	22	22	19	18	13	26	27	24	32	34	27	30	29	22
O53_174	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	1	1	0
O53_3526	13	16	16	21	22	25	14	16	11	18	19	18	25	21	23	23	21	16
O53_2710_rub	4	6	6	3	3	1	1	1	0	3	3	3	6	4	4	3	4	1
O53_4953	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
O53_2551_yhdZ	22	28	26	29	10	7	15	7	7	24	25	26	31	27	32	28	24	7
O53_1187	3	3	1	7	0	2	0	0	2	0	1	3	4	4	3	3	3	1
O53_918	27	29	30	21	14	12	10	10	7	19	19	22	36	26	31	35	27	9
O53_4358_tnpA	99	87	80	88	54	17	45	13	13	76	57	73	101	96	93	96	90	30
O53_4213_hemF	20	21	23	24	17	12	8	7	6	27	40	25	31	28	27	24	26	9
O53_2688_aspC-2	37	44	42	35	31	27	28	29	18	37	46	38	49	45	40	48	48	29
O53_2989	9	2	2	2	1	0	2	0	0	7	3	6	10	10	9	10	6	0
O53_3964	24	23	26	24	23	23	23	23	23	24	23	26	27	28	24	14	25	24
O53_4908	1	1	5	5	12	12	1	5	1	1	1	1	1	2	1	1	1	12
O53_3472	11	11	11	13	1	0	2	0	0	12	12	11	15	13	13	15	14	0
O53_2266	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	3	0	1
O53_1480	28	28	26	35	22	23	22	19	13	31	28	35	38	35	35	34	35	23
O53_4981_exbB-1	37	35	39	39	8	2	2	1	2	31	30	34	42	35	45	34	39	1
O53_712	11	10	10	2	5	9	2	0	0	7	7	7	14	12	12	10	11	5
O53_4719	20	1	15	12	24	25	28	26	7	27	27	15	28	24	27	23	12	21
O53_2938	0	0	1	3	13	24	13	23	0	12	14	15	11	10	19	8	13	22
O53_4649	35	39	39	38	25	20	27	22	14	44	61	43	51	48	50	51	47	21
O53_5385	4	5	6	7	7	7	9	7	4	10	8	8	10	9	10	6	9	8
O53_735	23	5	11	0	27	0	17	0	0	17	1	0	14	26	20	0	0	0
O53_4581_sufR	21	22	23	21	18	15	14	11	12	21	21	22	23	23	22	23	24	13
O53_1042	22	20	21	27	12	5	7	5	3	24	28	25	35	26	33	29	27	5
O53_3387	4	4	6	7	8	9	7	8	1	6	6	8	6	4	5	5	5	9
O53_1267	75	64	72	72	50	46	40	46	37	49	47	54	67	59	58	66	57	50
O53_2549_cysT	33	38	38	33	24	26	24	12	10	35	35	36	41	40	38	34	39	19
O53_4574	2	2	2	0	0	0	0	0	0	0	0	0	2	2	1	1	1	0
O53_980	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	0	1
O53_1164	5	2	7	7	7	7	4	4	7	4	5	5	12	4	7	1	8	7
O53_1940	28	29	34	26	27	15	29	19	0	28	27	27	34	30	29	32	29	24
O53_654_xisI	0	1	1	0	1	1	1	1	0	1	0	2	6	6	6	1	0	1
O53_798	69	81	81	72	49	37	50	33	23	77	85	79	100	90	90	96	90	42
O53_5321	15	13	14	15	11	10	8	4	4	15	14	18	22	19	18	18	17	8
O53_3837	9	11	16	14	8	9	9	7	3	15	21	14	16	17	17	14	18	8
O53_4289	1	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	0	0
O53_1922	2	3	0	0	0	0	0	0	0	1	0	2	3	2	2	5	1	0
O53_46	29	34	34	28	20	18	11	7	10	21	18	21	33	39	25	36	31	15
O53_2950	10	2	2	10	3	1	3	1	3	5	5	3	9	7	8	11	5	1
O53_2370	2	0	0	0	1	1	1	0	0	1	0	0	3	2	2	1	1	0
O53_2435_mmpI	24	21	22	21	20	19	16	15	9	23	20	24	29	27	32	20	25	17
O53_266	45	50	48	36	27	17	28	18	21	41	39	41	53	49	51	58	52	19
O53_1203_sphX	34	50	46	51	34	35	34	35	29	47	47	50	60	53	56	44	53	35
O53_3918	21	21	22	19	21	26	21	17	7	20	16	19	22	23	25	25	26	20
O53_1565	22	24	22	15	11	8	9	4	4	17	13	16	25	19	20	34	23	7
O53_4592	25	38	31	44	15	10	14	9	9	44	42	47	60	48	53	54	51	10
O53_248	30	33	31	26	21	12	18	16	13	30	28	24	35	31	31	38	29	15
O53_2327	71	73	73	83	32	34	31	25	21	73	79	78	109	80	97	98	87	31
O53_183	9	1	0	0	0	0	0	0	0	1	2	2	9	3	2	9	2	0
O53_2939	2	1	0	0	0	0	0	0	0	0	0	0	8	0	0	5	0	0
O53_1367	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0
O53_4287_mcnB	0	0	0	0	0	0	0	0	0	0	0	0	14	4	15	31	17	0
O53_1188	35	5	0	0	0	0	0	0	0	14	10	18	46	34	26	40	37	0
O53_4357	0	0	0	1	0	0	0	0	0	0	0	0	2	4	0	1	1	0
O53_3019	3	1	2	1	3	5	2	2	1	2	1	4	2	4	3	2	2	2
O53_175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O53_1716	24	35	33	33	31	32	38	35	26	33	41	37	35	33	40	37	35	40
O53_1927_rimO	40	39	37	24	19	12	18	11	12	28	26	30	37	32	29	36	25	16
O53_1474_accD	31	32	31	33	11	2	9	1	7	35	35	39	55	41	41	45	42	6
O53_861	102	122	126	118	89	58	80	44	20	112	113	120	129	126	131	122	124	56
O53_133	8	4	0	0	0	0	0	0	0	1	0	3	10	9	8	17	10	0
O53_3726_tRNA-Thr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O53_1262	16	10	10	9	8	7	8	7	10	8	6	8	13	9	10	12	11	4
O53_5020	9	11	9	13	7	2	1	2	4	12	10	13	19	13	14	17	12	2
O53_3571	2	2	2	1	1	2	1	1	0	2	2	3	2	2	2	1	2	1
O53_3285	6	2	3	3	3	2	2	2	0	4	3	2	4	2	4	6	6	2
O53_5193	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
O53_3850_gltA	29	37	39	28	25	21	24	26	18	32	33	34	32	33	32	28	36	23
O53_3557	30	29	26	22	19	19	19	17	21	22	26	24	27	25	27	29	26	16
O53_1100_minD	28	28	29	33	6	2	8	4	4	31	32	33	48	38	41	40	35	3
O53_1142	24	21	24	22	10	3	10	3	4	23	21	21	28	24	26	34	24	3
O53_2265	285	263	287	276	314	281	317	210	66	263	293	274	261	268	255	270	292	267
O53_3856_rpoD-2	21	23	18	24	5	4	6	2	8	23	44	24	29	28	27	30	26	4
O53_3661	5	4	6	7	6	6	6	6	5	7	7	5	7	5	7	9	5	6
O53_678_pgsA	27	27	27	15	8	6	4	5	4	24	23	23	36	33	31	28	29	4
O53_544	57	66	72	64	53	53	57	48	50	59	55	62	64	61	58	65	65	54
O53_4464	47	31	41	36	41	41	42	41	42	42	41	49	110	40	104	120	80	42
O53_4982	29	32	31	28	20	12	17	16	15	23	26	29	32	30	32	41	33	14
O53_325_metX	41	48	48	45	41	36	37	32	31	49	44	45	59	46	49	51	47	34
O53_4693	41	33	43	48	30	25	20	17	7	46	34	47	63	46	54	56	58	20
O53_2884	13	13	13	15	12	9	13	5	4	14	15	14	21	17	20	13	19	7
O53_5119	4	6	5	7	4	4	3	2	3	4	3	3	4	3	7	5	4	4
O53_613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O53_1048	22	21	21	21	18	18	17	17	16	19	20	19	23	18	20	21	18	17
O53_5266_gldA	40	48	46	41	34	29	38	35	28	41	38	38	40	44	36	50	39	35
O53_3056	49	57	64	50	51	50	43	33	24	59	56	67	69	58	65	58	63	44
O53_1825	1	5	4	7	34	0	23	0	0	66	9	39	53	46	32	4	36	21
O53_2564	2	0	1	2	0	0	0	0	0	0	0	0	7	2	2	3	2	0
O53_2096	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0
O53_2345_dspA	58	71	68	75	28	31	34	14	17	75	67	74	102	80	90	78	75	24
O53_2777	1	4	1	23	0	1	0	0	0	4	2	32	28	7	25	22	11	0
O53_3907_pmm	42	46	47	42	31	27	31	26	20	42	39	41	55	46	47	45	49	29
O53_3894_glgP	74	86	82	87	59	70	56	33	27	82	82	94	105	95	96	98	98	44
O53_372	17	11	13	15	12	12	9	2	7	13	11	14	14	14	14	11	14	9
O53_490	23	33	31	27	10	7	9	7	4	32	27	33	34	32	37	37	36	9
O53_1552	7	6	7	0	0	0	0	0	0	1	0	0	7	7	8	18	6	0
O53_1243	0	0	0	0	0	0	0	0	0	0	0	5	3	3	1	3	0	0
O53_4859	10	9	10	11	10	10	10	9	10	10	10	10	11	10	10	9	10	9
O53_2176	237	241	233	243	234	232	236	205	122	246	218	226	245	243	238	242	256	226
O53_3005	39	32	31	35	35	36	33	34	21	34	31	36	35	36	37	2	36	35
O53_3281_terC	14	13	13	12	6	3	4	3	5	13	11	12	17	17	18	17	13	3
O53_3184_gph	28	30	29	21	17	15	12	10	14	21	19	24	31	27	28	32	28	12
O53_1479	4	4	5	6	2	2	3	2	0	5	4	6	7	9	9	6	4	2
O53_3208	12	20	19	21	16	15	15	13	7	19	19	19	14	15	16	14	18	15
O53_921	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	0
O53_3046	2	2	2	2	2	2	1	1	2	1	2	2	1	2	1	0	2	1
O53_785	34	17	12	36	1	1	2	1	1	10	3	29	89	32	35	81	21	2
O53_3243	1	0	0	0	0	0	0	0	0	2	3	3	2	2	3	1	0	0
O53_3865	11	10	10	9	7	5	4	1	0	9	7	8	10	11	9	9	12	6
O53_2405	4	4	6	7	6	7	3	3	0	8	9	13	12	19	11	7	7	4
O53_4124	27	34	34	36	29	21	26	25	22	33	36	40	50	47	51	43	38	24
O53_2720	5	7	5	4	0	0	0	0	0	3	2	7	14	11	11	13	9	0
O53_373	10	10	9	7	12	12	5	9	8	8	7	8	11	9	10	10	8	12
O53_964	12	1	9	9	0	0	1	0	1	8	7	11	14	5	5	15	12	0
O53_1049_tRNA-Thr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O53_4476_glyS	67	78	69	75	53	37	50	39	45	68	70	79	80	76	78	93	82	49
O53_3516	9	9	9	0	0	0	0	0	0	0	0	0	14	9	8	8	1	0
O53_1830_ecaB	27	36	34	32	30	21	28	23	22	38	37	33	32	35	32	31	40	28
O53_1923	28	30	32	22	20	24	15	8	0	20	14	19	32	32	26	29	30	15
O53_4136	47	47	53	43	23	12	17	8	7	52	49	49	60	61	53	55	62	9
O53_3814	17	16	16	15	16	4	11	1	2	17	19	18	19	17	20	20	20	13
O53_3785	6	4	4	8	5	5	4	4	1	7	4	3	10	3	9	11	9	4
O53_3358	86	87	94	87	43	31	35	29	20	89	90	84	109	100	105	99	96	29
O53_5254	3	3	1	2	0	0	0	0	0	1	3	3	7	4	7	4	3	0
O53_1484	4	5	5	2	1	2	0	0	1	2	1	1	7	5	6	6	3	1
O53_295	4	4	5	4	5	4	4	4	3	4	3	4	4	4	4	3	3	4
O53_4813_tauB	24	4	2	16	0	0	2	2	3	2	2	3	35	2	12	23	19	2
O53_3318	84	79	84	86	89	88	72	79	25	89	90	85	106	100	78	56	81	75
O53_2409_sua5	13	13	14	18	9	7	7	6	3	17	16	17	21	18	21	20	14	6
O53_178	45	44	52	63	35	31	35	24	22	52	51	54	67	61	59	79	60	31
O53_625_xisH	6	3	1	5	1	1	1	1	0	1	1	1	4	2	4	7	2	1
O53_3118	19	20	18	22	16	14	12	11	9	20	15	16	24	23	21	20	20	13
O53_3202_livH	32	26	29	30	18	17	16	3	3	28	27	31	36	31	35	34	41	13
O53_2959_aroC	21	28	31	35	21	17	18	20	15	25	27	28	31	28	33	31	32	20
O53_3176	39	44	43	39	22	16	20	19	9	41	43	49	59	46	52	52	44	19
O53_1539	6	3	0	1	2	2	1	0	0	2	0	3	16	13	11	32	2	2
O53_2906	50	62	54	53	36	37	23	17	15	41	32	44	64	60	59	64	53	28
O53_1871	64	63	63	80	28	18	18	15	10	77	73	75	118	98	108	103	92	17
O53_2955	13	16	11	11	6	5	8	5	2	9	11	12	13	13	14	14	12	5
O53_612	39	32	22	18	13	6	10	9	1	13	14	15	44	30	37	47	24	9
O53_2682	20	10	0	0	0	0	0	0	0	0	0	0	22	10	15	13	18	0
O53_3950	2	3	1	2	1	2	0	0	2	0	0	1	3	2	2	1	1	1
O53_3761	2	1	1	0	0	0	0	0	1	0	2	0	4	0	5	5	0	0
O53_3099	24	29	27	23	18	9	17	7	22	25	24	30	35	29	34	28	27	11
O53_870	66	55	50	29	19	17	9	4	4	25	24	29	60	52	47	55	49	11
O53_1715	8	0	1	10	8	14	14	11	0	6	8	10	8	7	4	0	5	12
O53_1075	3	1	0	0	0	0	0	0	0	2	0	3	4	4	3	3	3	0
O53_3221	2	1	1	0	0	0	0	0	0	0	1	2	2	2	2	4	2	0
O53_916	35	38	35	30	12	13	7	4	8	30	27	30	45	34	39	39	34	11
O53_277	39	40	42	46	17	15	18	16	12	43	33	38	57	44	54	41	45	16
O53_5114	23	33	37	36	28	28	31	27	22	33	29	26	41	37	42	37	37	29
O53_3282	10	10	9	8	9	9	9	8	5	9	10	14	18	10	10	0	8	9
O53_3350	9	9	9	10	3	3	1	0	3	9	5	9	14	10	12	9	10	3
O53_3884_cadA	79	84	84	67	61	55	49	46	30	68	65	61	82	76	74	90	82	55
O53_590	4	5	6	3	3	3	3	3	3	2	3	1	4	4	1	4	2	3
O53_2282_moaB	19	20	20	22	12	3	5	4	2	21	16	20	30	22	29	17	21	4
O53_4841_gor	48	52	55	63	41	35	22	32	24	48	42	46	63	60	52	62	59	33
O53_1118	18	28	29	25	19	19	18	19	14	25	22	23	27	24	28	19	25	19
O53_1516	39	39	36	35	12	8	10	7	9	27	22	31	48	38	35	43	34	9
O53_951	3	1	2	2	2	2	1	2	2	4	16	31	47	24	35	44	2	2
O53_1127	15	17	9	18	11	12	11	8	7	8	9	10	23	14	6	22	9	7
O53_1448_rpsQ	7	6	6	6	2	1	1	0	0	5	5	5	4	6	5	7	5	1
O53_768	25	31	33	31	23	15	21	15	7	32	31	35	37	35	38	33	35	15
O53_1862	8	7	7	3	3	2	3	2	1	3	4	8	11	6	11	9	8	2
O53_4478_nusA	42	43	42	55	17	11	17	11	8	50	56	47	67	57	51	57	56	12
O53_4428_doc	7	5	4	0	0	0	0	0	0	7	7	7	7	7	8	7	6	0
O53_4067	4	4	4	4	4	4	4	4	2	4	4	4	5	5	7	4	4	4
O53_3201	20	14	13	1	0	0	1	0	1	16	12	17	23	21	20	17	19	2
O53_2508_devC	47	52	48	37	42	41	45	36	0	50	46	45	48	50	53	43	46	46
O53_4311_petF	28	21	31	18	5	5	5	2	2	17	18	16	33	25	28	30	25	4
O53_3060	34	38	40	41	13	10	10	8	8	36	31	41	47	43	41	34	37	10
O53_5391	24	22	29	21	16	33	18	5	12	21	20	24	37	38	35	40	28	11
O53_3738_salX	18	20	20	26	19	17	16	15	13	23	25	20	29	30	27	21	38	18
O53_3562_glk	11	12	8	11	11	13	8	8	9	9	8	8	11	14	9	5	10	9
O53_569_tyrS	47	49	48	38	13	8	14	9	8	42	37	43	54	49	51	55	48	10
O53_3015_ndhF	61	66	65	55	51	45	49	48	28	61	72	55	70	67	67	65	60	46
O53_1665	25	18	27	28	27	17	2	0	0	9	12	17	34	28	26	33	30	5
O53_2391	8	10	9	8	6	5	5	3	3	7	7	7	9	9	9	13	9	5
O53_5227	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
O53_1729_crtH	36	38	35	36	18	12	14	10	10	36	38	39	57	43	49	45	39	13
O53_2249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O53_603	53	58	54	44	25	17	21	15	15	53	52	55	69	61	59	67	55	18
O53_4434	15	15	16	17	5	1	7	3	3	17	14	17	24	17	22	21	17	5
O53_473	64	67	66	54	28	18	26	12	13	53	54	54	87	67	74	69	73	27
O53_80	13	12	10	12	9	7	9	6	1	9	8	11	15	14	10	9	16	7
O53_182_psbP	12	13	14	12	4	2	6	0	0	13	13	12	18	16	18	18	15	4
O53_1311_rplX	7	7	7	12	3	3	2	1	0	8	6	7	14	10	12	15	12	2
O53_1396	15	18	18	23	4	2	3	2	0	30	27	28	36	31	34	39	35	3
O53_1279	39	45	44	51	27	29	22	22	18	36	33	44	60	47	50	55	50	24
O53_1191_cdsA	37	37	40	25	21	17	21	16	14	33	31	32	36	33	33	28	34	21
O53_3809_gpt	8	9	9	8	7	7	7	8	4	7	7	11	20	10	10	3	10	8
O53_1756	114	107	119	110	99	99	85	71	36	108	136	110	123	121	116	112	115	91
O53_2894	2	1	2	2	0	0	0	0	0	3	3	5	5	5	5	5	4	0
O53_1801	14	12	18	13	13	9	10	8	2	13	12	13	15	12	12	16	14	9
O53_2341_trpF	26	26	27	30	19	14	18	12	10	33	26	24	34	33	37	29	37	18
O53_4663	0	2	2	2	4	4	2	2	2	2	2	2	3	0	0	0	2	2
O53_2745_mscS-1	50	49	47	50	11	6	10	5	5	37	30	43	68	53	52	62	51	6
O53_4138	36	32	42	31	42	38	36	35	7	39	41	31	46	44	39	30	41	33
O53_3412_crtB	19	23	23	24	6	6	6	5	4	24	24	21	31	24	24	33	27	5
O53_5283_thrS	29	35	28	41	17	17	17	13	11	34	80	41	53	43	47	49	39	13
O53_5365	5	5	2	0	0	0	0	0	0	0	0	0	8	1	4	1	4	0
O53_3922	29	0	3	16	45	37	55	22	0	70	10	25	62	49	37	0	1	20
O53_4616	17	23	21	21	13	11	10	11	6	18	17	21	16	17	15	15	18	10
O53_3027	2	2	1	2	2	1	2	2	3	3	2	2	3	3	2	8	2	2
O53_2034_metH	104	115	117	110	67	65	64	60	49	107	117	105	131	115	123	136	115	63
O53_3192	4	4	2	5	2	1	1	0	1	3	3	3	6	5	5	7	4	1
O53_4781	5	4	4	4	3	2	2	2	2	5	5	5	6	6	8	7	6	2
O53_3222_purM	26	30	31	30	12	5	9	4	3	29	31	32	39	36	37	36	33	4
O53_2588	0	0	0	3	0	0	0	0	0	0	0	0	5	2	2	3	0	0
O53_3505	18	16	22	21	15	17	11	10	15	18	20	17	24	20	22	22	18	14
O53_1461	9	9	5	5	5	4	5	4	7	6	6	6	9	6	7	20	5	4
O53_4682	4	5	4	2	2	2	1	1	3	3	3	3	3	5	4	0	5	2
O53_2082_higA-4	13	4	7	9	5	4	7	4	0	12	10	11	13	13	13	12	9	4
O53_5341	4	5	3	4	0	0	0	0	0	3	2	4	5	3	6	7	4	0
O53_3104	56	52	53	63	31	22	30	23	5	49	39	46	63	58	63	45	62	24
O53_1914_ubiC	13	14	15	14	10	10	10	10	3	13	13	12	15	14	14	15	16	9
O53_3989	2	3	2	1	2	0	2	0	0	1	2	8	2	3	3	3	4	1
O53_2119_mutS	45	63	66	73	51	43	51	42	25	61	66	55	68	65	68	64	67	46
O53_4765	6	3	3	5	0	0	0	0	0	4	4	5	7	5	7	5	5	0
O53_4679	45	43	43	38	36	20	31	17	7	38	37	43	42	38	45	45	40	25
O53_1571_oppC	26	34	32	38	28	22	27	20	18	40	46	39	39	48	42	36	44	24
O53_4712_gdhA	36	48	50	68	30	22	27	22	10	48	43	49	61	52	54	56	53	25
O53_2671	15	16	15	14	0	0	0	0	0	12	11	14	27	14	18	16	17	0
O53_2094	10	14	15	18	18	18	19	17	20	17	18	18	12	13	14	22	13	19
O53_519	11	6	9	5	10	6	10	14	6	10	8	8	10	9	14	0	7	9
O53_2943	1	1	1	0	0	0	0	0	0	2	2	3	5	1	2	4	1	0
O53_1670_prlC	43	56	56	65	54	49	40	37	18	59	77	60	71	66	73	62	64	45
O53_1045_gshB	29	38	36	36	33	35	24	24	30	37	38	39	42	41	42	33	42	27
O53_1417_aerB	146	175	193	158	163	165	141	109	85	152	151	152	167	205	165	171	167	163
O53_1974	25	10	12	0	0	0	0	0	0	0	3	3	19	7	11	18	7	0
O53_2166	2	0	1	2	0	0	0	0	0	0	0	0	7	2	0	1	2	0
O53_4001	23	28	22	30	2	1	2	1	0	35	31	33	46	39	40	31	34	1
O53_2356_rbfA	20	14	14	20	11	12	10	4	4	18	14	18	21	21	21	17	21	9
O53_36_fbp	22	19	19	22	15	10	10	6	7	24	20	23	28	24	29	26	26	9
O53_5161_slt	72	89	87	81	61	52	59	49	26	80	76	69	87	84	84	85	87	56
O53_3749	7	4	5	4	5	4	4	4	4	4	5	4	14	4	11	9	4	4
O53_3852	23	28	43	44	40	41	36	27	27	43	43	45	29	34	32	20	48	33
O53_1866	3	1	1	2	0	0	0	0	0	3	2	2	5	3	4	5	1	0
O53_1288	8	8	8	11	10	9	8	4	0	5	8	7	10	12	8	10	5	10
O53_3010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O53_5184	76	51	67	56	77	79	76	67	46	77	75	74	93	70	70	76	65	77
O53_1329	44	46	44	36	14	15	13	6	4	37	29	38	59	54	50	64	42	8
O53_4517_apcB	13	13	12	3	2	1	2	1	1	3	35	2	11	13	11	14	6	2
O53_3482_rsbW	30	30	30	26	0	0	1	0	0	26	25	30	32	30	29	29	30	0
O53_2728	13	7	11	12	2	2	1	1	2	9	10	10	11	10	12	14	12	1
O53_464	6	2	1	2	0	0	0	0	2	0	0	0	1	0	1	6	0	0
O53_3173	32	27	26	29	25	30	24	19	14	27	26	31	33	30	29	29	31	24
O53_5127	7	7	5	4	9	6	7	5	3	8	5	4	5	6	4	4	5	5
O53_4479	23	38	36	35	34	25	41	39	35	42	39	41	40	35	45	41	38	35
O53_1500	7	7	9	3	3	3	3	3	1	2	2	2	10	11	7	1	6	3
O53_3338	6	3	0	1	1	2	0	0	0	1	2	4	6	5	5	5	4	0
O53_2291	3	1	2	3	5	3	2	2	0	1	2	5	0	0	5	3	4	1
O53_3576	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
O53_4723	97	88	84	87	83	79	96	86	89	102	90	92	105	111	85	87	97	91
O53_238_doc	4	9	9	5	6	5	6	5	4	6	8	6	4	7	7	2	7	6
O53_1520	1	1	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0
O53_947	50	48	52	43	24	22	27	23	28	49	48	47	68	59	61	49	50	21
O53_3567_aerL	45	50	47	47	34	22	32	17	21	50	43	50	57	50	59	63	58	27
O53_2509_psaF	3	6	9	8	5	10	9	10	8	13	12	13	16	15	14	15	14	10
O53_1872	25	18	24	25	18	15	19	15	6	26	22	22	31	26	26	25	25	17
O53_5031_aroH	13	13	13	17	7	1	1	1	0	17	17	17	21	15	21	20	19	0
O53_460	195	172	187	172	181	171	198	193	70	204	197	202	206	206	213	176	182	181
O53_2738_rplQ	12	20	19	17	16	15	16	9	0	19	18	19	16	19	18	16	19	16
O53_2985	106	47	42	40	52	53	46	43	27	84	97	94	143	116	131	105	104	44
O53_1105	13	12	13	3	3	2	3	0	0	11	9	8	16	13	17	20	13	3
O53_2547	9	8	8	8	0	0	0	0	0	6	3	4	10	10	11	10	5	0
O53_3626	84	85	84	84	32	4	17	4	5	76	73	85	123	95	122	97	107	6
O53_3141_gvpC	32	31	28	32	5	2	3	0	0	32	23	33	47	36	35	43	32	3
O53_4009	36	35	33	28	35	12	16	3	10	29	29	30	38	35	35	36	40	20
O53_1272	21	19	19	19	13	13	11	10	2	19	20	19	19	20	22	18	22	11
O53_3294_cpcS-1	15	18	18	18	14	9	6	5	1	20	18	20	25	22	24	13	21	7
O53_3686	10	11	10	17	3	6	5	1	2	15	13	14	18	16	18	17	15	2
O53_4802_mdnA	5	4	4	6	1	1	1	0	0	3	3	3	6	5	5	7	5	1
O53_5332	4	2	2	0	0	3	0	0	0	2	2	2	6	4	4	5	3	0
O53_2812_ccmA	32	33	32	43	28	24	20	22	20	34	35	29	41	38	37	37	41	24
O53_4698_comB	17	20	20	19	17	17	12	11	11	18	19	20	21	18	23	20	20	14
O53_872_sds	25	29	28	29	12	8	12	6	6	30	26	32	36	33	34	43	31	10
O53_650	8	4	4	5	0	0	0	0	0	5	3	6	9	6	7	10	6	0
O53_2440	112	137	126	119	122	114	110	107	104	124	130	132	134	142	134	139	135	100
O53_297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O53_4796_hup	5	4	6	7	2	0	1	0	0	8	8	8	10	8	8	8	8	0
O53_4319	15	13	12	15	6	5	2	5	2	16	17	17	22	18	17	17	15	5
O53_1555	35	34	33	39	11	11	10	8	14	30	33	30	47	39	49	54	41	8
O53_229_hflX	43	48	47	45	29	42	23	12	16	44	46	47	55	43	51	62	48	17
O53_173	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
O53_1283_srpM	8	7	9	9	4	3	5	1	4	9	9	9	13	13	13	12	8	3
O53_753	0	2	5	6	0	0	0	0	0	6	5	6	7	6	8	9	7	0
O53_5288	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0
O53_1428	11	14	12	13	13	12	10	9	8	11	13	12	17	16	15	10	15	10
O53_1302	0	1	3	5	5	5	2	2	6	2	3	2	1	3	1	2	1	3
O53_1770	18	16	11	10	4	0	0	0	0	10	6	10	25	15	14	25	12	0
O53_3436	29	28	26	26	17	10	11	8	8	29	23	27	38	31	38	39	32	11
O53_4668	50	53	51	41	36	33	33	19	20	46	67	58	66	56	59	54	53	30
O53_4927	23	25	27	34	15	14	16	14	15	25	28	31	35	33	34	27	29	15
O53_2487	7	8	8	10	5	4	5	5	3	11	13	13	15	14	13	11	9	5
O53_3157	4	3	3	6	9	11	8	12	0	16	4	8	9	16	7	0	8	5
O53_4392_rnpA	1	6	4	13	4	3	5	4	3	11	7	12	20	15	19	16	12	4
O53_4425	0	0	0	0	0	1	4	0	0	13	11	12	9	5	10	4	0	0
O53_4083	3	0	0	0	0	0	0	0	0	0	0	0	3	1	2	3	0	0
O53_3797	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0
O53_4449	6	1	5	2	9	9	0	0	3	0	1	0	3	2	1	1	1	2
O53_1832	4	1	1	1	0	0	0	0	0	1	0	1	2	1	1	3	4	0
O53_862_cyp	50	51	52	47	28	19	22	13	20	41	41	44	62	59	56	52	53	13
O53_3233_valS	76	79	68	73	30	28	29	27	16	64	88	71	95	82	78	83	70	27
O53_5037	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0
